                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4095,                  1.704,                  1.222,                0.29683,                 0.1911,                 0.1516,                0.04872,                 2.6532,                 1.9318,                 1.3558,              0.0011224,              0.0011224,              0.0011224
                     35,                 2.4501,                  1.742,                 1.2489,                0.70006,                0.18059,                0.14533,                0.04633,                 2.6188,                  1.955,                 1.3054,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.4366,                 1.7519,                 1.2373,                 0.6843,                0.19864,                0.16269,                0.05199,                 2.6402,                  1.887,                 1.3472,              0.0010894,              0.0010894,              0.0010894
                     37,                  2.406,                 1.7025,                 1.2291,                0.37729,                0.17852,                0.16247,                0.05479,                 2.6241,                 1.9064,                 1.3451,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.4375,                 1.7341,                 1.2298,                0.70793,                0.17653,                0.15063,                0.04947,                 2.6576,                 1.9271,                 1.3459,              0.0010564,              0.0010564,              0.0010564
                     39,                  2.387,                 1.6822,                 1.2144,                0.19892,                0.19694,                0.16384,                0.05175,                 2.6411,                 1.8995,                 1.3182,              0.0010399,              0.0010399,              0.0010399
                     40,                 2.3991,                 1.6811,                 1.2268,                0.40169,                0.18476,                0.15245,                0.05023,                 2.6958,                 1.9802,                 1.3773,              0.0010234,              0.0010234,              0.0010234
                     41,                  2.395,                 1.7096,                 1.2375,                0.33966,                0.20902,                0.14089,                0.04595,                 2.6773,                 1.9289,                 1.3511,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.3904,                 1.7134,                 1.2117,                0.65269,                 0.1932,                0.11801,                0.03595,                 2.6763,                 2.2108,                 1.3374,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.4014,                 1.7031,                 1.2137,                0.69836,                0.16156,                0.13202,                0.04305,                 2.7182,                 1.9509,                 1.3829,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.4008,                 1.6784,                 1.2008,                0.69811,                0.18741,                0.14768,                 0.0458,                 2.6365,                 1.9532,                 1.3409,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.3662,                 1.6639,                 1.2147,                0.20732,                0.18095,                 0.1569,                0.05135,                  2.624,                 1.9065,                 1.3177,             0.00094085,             0.00094085,             0.00094085
                     46,                 2.3609,                 1.6385,                 1.1982,                0.22984,                0.17268,                0.13575,                  0.044,                 2.7141,                 2.0152,                 1.3845,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.4197,                 1.6858,                 1.2067,                0.41151,                0.21073,                0.16211,                0.05341,                 2.5885,                 1.8855,                 1.3261,             0.00090785,             0.00090785,             0.00090785
                     48,                 2.4006,                 1.6722,                 1.1939,                0.33301,                0.19711,                0.15788,                0.05205,                 2.6592,                 1.9003,                 1.3531,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.3457,                 1.6416,                 1.2195,                0.52787,                0.20246,                 0.1505,                0.04804,                 2.6542,                 1.8828,                 1.3566,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.3275,                 1.6397,                 1.2222,                0.39107,                0.20729,                0.15346,                 0.0487,                 2.7008,                 1.9076,                 1.3735,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.3872,                 1.6487,                 1.2044,                0.20683,                0.18477,                0.14617,                0.04655,                 2.6558,                 1.9023,                 1.3528,             0.00084184,             0.00084184,             0.00084184
                     52,                 2.3312,                 1.6396,                 1.2054,                0.31844,                0.19145,                0.15592,                0.04946,                 2.6786,                 1.9268,                   1.37,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.3322,                  1.641,                 1.2211,                0.41582,                0.18311,                0.13931,                0.04479,                 2.6798,                 1.9853,                  1.372,             0.00080883,             0.00080883,             0.00080883
                     54,                  2.369,                 1.6437,                 1.2036,                0.40009,                 0.1865,                0.14481,                0.04708,                 2.6847,                 1.9892,                 1.3473,             0.00079233,             0.00079233,             0.00079233
                     55,                  2.318,                 1.5965,                 1.2054,                0.38656,                0.18071,                0.15463,                0.05217,                 2.6574,                 1.9094,                 1.3638,             0.00077582,             0.00077582,             0.00077582
                     56,                  2.339,                 1.6311,                 1.2027,                0.37551,                0.18725,                0.15886,                0.05072,                 2.6852,                 1.9337,                 1.3624,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.3252,                 1.5946,                 1.1826,                0.40058,                0.20553,                0.16682,                0.05233,                 2.6541,                 1.8873,                  1.338,             0.00074282,             0.00074282,             0.00074282
                     58,                 2.3118,                 1.5613,                 1.1795,                0.38906,                0.19915,                0.15924,                0.05408,                 2.6439,                 1.8915,                  1.352,             0.00072631,             0.00072631,             0.00072631
                     59,                  2.328,                 1.5773,                 1.1782,                0.30797,                0.19337,                0.15947,                0.05109,                 2.6641,                 1.8808,                 1.3498,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.3211,                 1.5867,                 1.1951,                0.30898,                0.20975,                0.16909,                0.05453,                 2.6722,                 1.8785,                 1.3473,             0.00069331,             0.00069331,             0.00069331
                     61,                  2.272,                 1.5524,                 1.1783,                0.30009,                0.19949,                0.16955,                0.05576,                 2.6477,                 1.8941,                 1.3528,              0.0006768,              0.0006768,              0.0006768
                     62,                 2.2868,                 1.5883,                 1.2026,                0.22111,                0.17993,                0.15201,                0.04877,                 2.6911,                 1.9376,                 1.3712,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.2742,                 1.5627,                 1.1878,                0.33894,                0.20021,                0.15988,                0.05151,                 2.6616,                 1.8695,                 1.3471,              0.0006438,              0.0006438,              0.0006438
                     64,                 2.3141,                  1.545,                 1.1695,                 0.4018,                0.18532,                 0.1674,                0.05373,                 2.6534,                 1.8366,                 1.3347,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.2696,                  1.521,                 1.1723,                 0.4316,                0.19677,                0.16395,                0.05419,                 2.6169,                 1.9786,                 1.3497,             0.00061079,             0.00061079,             0.00061079
                     66,                  2.278,                 1.5245,                 1.1657,                0.29262,                0.19196,                 0.1593,                0.05199,                 2.6594,                 1.9193,                 1.3485,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.2532,                 1.5364,                 1.1786,                0.36977,                0.21344,                0.15648,                 0.0512,                 2.6663,                 1.9289,                 1.3461,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.2602,                 1.5538,                 1.1821,                0.28151,                0.20392,                0.16629,                 0.0527,                 2.6725,                  1.868,                 1.3577,             0.00056128,             0.00056128,             0.00056128
